Obersparte	Untersparte	Sparten-Nr.
	Internationales Recht	856
	Jura-Zeitschriften	862
	Juristisches vor 1945	1224
	Kanzleiführung	866
	Kirchenrecht	2919
	Kriminalistik/Polizei	865
	Öffentliches Recht	574
	Rechtspflege	1996
	Rechtsgeschichte	575
	Sozialrecht	1991
	Steuerrecht	2541
	Strafrecht	573
	Umweltrecht	1993
	Urteile/Entscheidungen	860
	Verbraucherschutz	2540
	Verfassung/Grundrechte	859
	Völkerrecht	1992
	Wettbewerbsrecht	1994
	Wirtschaftsrecht	858
	Zivilrecht	572
	Sonstiges - Jura	4
Kulturwissenschaften		
	Ägyptologie	46
	Anthropologie	1351
	Archäologie	36
	Asienwissenschaft	698
	Filmwissenschaft	129
	Indologie	203
	Japanologie	231
	Judaistik / JüdischeStudien	234
	Kulturgeschichte	773
	Kunstgeschichte	273
	Kunstwissenschaft	2955
	Medienwissenschaft	322
	Orientalistik	361
	Sinologie	427
	Sittengeschichte/Sexualwissenschaft	1356
	Theaterwissenschaft	480
	Tourismuswissenschaft	702
	Völkerkunde/Ethnologie	799
	Volkskunde/Vergleichende Kulturwissenschaft	2634
	Sonstiges - Kulturwissenschaften	270
Lexika/Nachschlagewerke		
	Allgemeines Lexikon	629
	Fachlexikon	630
	Fremdsprachen/Sprachführer	770
	Wörterbücher	769
	Sonstiges - Nachschlagewerke	5
Medizin/Pharmazie		
	Alte Medizinbücher	909
	Alternative Medizin	2592
	Akupunktur/-pressur	1027
	Allgemeinmedizin	736
	Anatomie	652
	Anästhesie	1932
	Andrologie	2965
	Arbeitsmedizin	1987
	Augenheilkunde	42
	Chirurgie	741
	Demenz	2761
	Dermatologie	738
	Diabetes	2794
	Diätetik	2795
	Ergotherapie	2909
	Endokrinologie/Hormone	2928
	Ganzheitliche Medizin	3064
	Gastroenterologie	1923
	Gefäßkrankheiten/Angiologie	2961
	Genetik	144
	Geschichte der Medizin	744
	Geschichte der Pharmazie	3026
	Gesundheitspolitk	2670
	Gynäkologie/Geburtshilfe	855
	Hämatologie	3063
	Heilpädagogik	185
	Heilpflanzen/Phytotherapie	2929
	Histologie	2966
	HNO	737
	Homöopathie	2673
	Immunologie	2727
	Innere Medizin	653
	Kinderheilkunde	904
	Intensivmedizin	3037
	Labormedizin	3062
	Logopädie	2667
	Manuelle Medizin/Chirotherapie	2936
	Med. Nachschlagewerke	907
	Medizintechnik	327
	Naturheilkunde	729
	Neurochirurgie	2962
	Neurologie	739
	Notfallmedizin	742
	Onkologie/Krebs	905
	Orthopädie	696
	Osteologie	2960
	Osteopathie	2566
	Palliativmedizin	2949
	Pathologie/Rechtsmedizin	654
	Pflege - Altenpflege	906
	Pflege - ambulante Pflege	2793
	Pflege - Ausbildung	2669
	Pflege - Krankenpflege	263
	Pflege - Palliativpflege	2665
	Pflege - Pflegewissenschaft	2954
	Pflege - Ratgeber	2666
	Pharmazie/Pharmakologie	377
	Physiologie	1229
	Physiotherapie	1924
	Präventivmedizin	1989
	Psychiatrie	835
	Psychosomatik	2565
	Radiologie,Ultraschall etc.	743
	Rehabilitationsmedizin	1990
	Rheumatologie	2937
	Schmerztherapie/Algesiologie	2959
	Sportmedizin	444
	Staatsexamen Medizin	1802
	TCM	2577
	Tiermedizin/Veterinärmedizin	725
	Umweltmedizin	1988
	Unfallchirurgie	2926
	Urologie	740
	Viren/Bakterien	908
	Vorklinik/Physikum	843
	Zahnmedizin	546
	Medizin-Zeitschriften	910
	Sonstiges - Medizin	323
Musik (Bücher/Noten)		
	über Beatles	888
	über berühmte Musiker/Bands	2931
	über Blues/Soul	3058
	über elektronische Musik	892
	über Folklore	683
	über HipHop/Rap	890
	über Gesang/Chöre	891
	über Jazz	232
	über Klassik	682
