Obersparte	Untersparte	Sparten-Nr.
	Gesellschaftsromane	2851
	Heft-/Groschenromane	1902
	Heimatromane	1431
	Heitere Erzählungen	1395
	Historische Liebesromane	2663
	Historische Romane	632
	Horror	734
	Humor/Satire	701
	Insel-Bücherei	1357
	Justiz-Romane	1904
	Karl May	1354
	Jugend	643
	Katastrophen	2539
	Klassiker	795
	Krieg/Soldaten	1232
	Kurzgeschichten	1325
	Lesbian/Lesbisch	2641
	Liebesromane	796
	Männer	1707
	Märchen / Sagen	853
	Novellen	1326
	Politische Romane	2022
	Reader´s Digest	1253
	Reiseerzählungen	1365
	Religiöse Erzählungen	1230
	Schicksals-Romane	1396
	Science Fiction	634
	Sportromane	2708
	Tiergeschichten / Fabeln	1374
	Utopien/Dystopien	2939
	Vampir-Romane	2576
	Weihnachten	1939
	Sonstiges - Romane / Erzählungen	8
Krimis/Thriller		
	Detektiv-Romane	1719
	Frauenkrimis	2524
	Gerichtsmedizinische Krimis	2519
	Historische Krimis	1720
	Horror	734
	Justiz-Romane	1904
	Krimi-Klassiker	2953
	Kriminalgeschichten	2571
	Mystery	2952
	Noir-Krimis	2520
	Polit-Thriller	1913
	Psycho-Thriller	2522
	Romantik-Thriller	2668
	Spionage-Romane	2521
	Tierkrimis	2517
	True Crime	2516
	Umwelt-/Ökothriller	3030
	Vampir-Romane	2576
	Sonstiges - Krimi/Thriller	633
	Krimis aus Afrika	2557
	Krimis aus Asien	2544
	Krimis aus Australien & Neuseeland	2545
	Krimis aus Benelux-Ländern	2554
	Krimis aus der DDR	3028
	Krimis aus Deutschland, Österreich und der Schweiz	2518
	Krimis aus Frankreich	2546
	Krimis aus Griechenland	3040
	Krimis aus Großbritannien und Irland	2547
	Krimis aus Lateinamerika	2555
	Krimis aus Osteuropa	2556
	Krimis aus Italien	2548
	Krimis aus Nahost & Nordafrika	2549
	Krimis aus Russland	2550
	Krimis aus Skandinavien	2551
	Krimis aus Spanien & Portugal	2552
	Krimis aus den USA & Kanada	2553
Drama/Lyrik		
	Antikes Drama	2957
	Klassisches Theater	1034
	Modernes Theater	1035
	Episches Theater	1036
	Drama	686
	Komödie	1032
	Modernes Drama	984
	Shakespeare	981
	Tragödie	1033
	Theaterwissenschaft	480
	Lyrik allgemein	685
	Anthologien (Lyrik)	1350
	Antike Dichtung	2896
	Balladen	982
	Gedichtbände	1030
	Liebeslyrik	980
	Lieder/Gesänge	983
	Moderne Lyrik	979
	Poetry Slam	3007
	Reimlexika	1031
	Sonstiges - Drama/Lyrik	1366
Sammel-/Bildbände		
	Architektur/Städte (Bildband)	1279
	Berühmte Künstler (Bildband)	2694
	Bildband allgemein	628
	Fotografie (Bildband)	1717
	Jahrbücher	1284
	Kunst (Bildband)	1282
	Mode (Bildband)	1280
	Natur (Bildband)	1281
	Reisen (Bildband)	733
	Tiere (Bildband)	1287
	Sammelband	627
	Sammelbildchen/Album	1970
	Gesammelte Werke	1288
	Sonstiges - Sammel/Bildband	15
Deutsche Regionen		
	Deutschland allgemein	803
	DDR allgemein	834
	Baden-Württemberg	985
	Bayern	986
	Berlin	987
	Brandenburg	988
	Bremen	989
	Flüsse in Deutschland	2775
	Gebirge in Deutschland	3013
	Hamburg	990
	Hessen	991
	Mecklenburg-Vorpommern	992
	Niedersachsen	993
	Nordrhein-Westfalen	994
	Rheinland-Pfalz	995
	Saarland	996
	Sachsen	997
	Sachsen-Anhalt	998
	Schleswig-Holstein	999
	Thüringen	1000
	Stadtführer (Deutschland)	1962
	ehem. Böhmen/Mähren	1237
	ehem. Pommern	1238
	ehem. Preußen	1926
	ehem. Ostpreußen	1233
	ehem. Westpreußen	1925
	ehem. Schlesien	1235
	ehem. Siebenbürgen	1236
	ehem. Sudetenland	1234
	sonstige ehemalige dt. Gebiete	2604
Länder und Reisen		
	Ägypten	2481
	Kapverden	2482
	Kenia	2483
	Madagaskar	2484
	Marokko	2485
	Mauritius	2486
	Namibia	2487
	Nordafrika	2679
	Ostafrika	2677
	Südafrika	2488
	Tunesien	2489
	Westafrika	2678
	Afrika allgemein	659
	Argentinien	2467
	Bahamas	2468
	Barbados	2469
	Bolivien	2470
	Brasilien	2471
	Chile	2472
	Costa Rica	2473
	Dominikanische Republik	2474
	Ecuador	2916
	Jamaika	2475
	Kanada	2476
	Karibik	3006
	Kolumbien	2477
	Kuba	2478
	Mexiko	2479
	Nicaragua	3033
	Paraguay	2480
	Uruguay	2917
	USA	2512
	Amerika allgemein	809
	Nordamerika	657
	Südamerika	658
	Afghanistan	2621
	Bali	2490
	Bhutan	2861
	China	2491
	Indien	2493
	Indonesien	2494
	Irak	2538
	Iran	2495
	Israel	2496
	Japan	2497
	Jordanien	2498
	Kambodscha	2858
	Kaukasus	2938
	Laos	2499
	Libanon	2500
	Malaysia	2501
	Malediven	2502
	Myanmar/Birma	2564
	Nepal	2860
	Nordkorea	2578
	Pakistan	2647
	Philippinen	2503
	Saudi-Arabien	2504
	Seychellen	2505
	Singapur	2506
	Sri Lanka	2507
	Südkorea	2579
	Taiwan	2862
	Thailand	2508
	Tibet	2859
	Vereinigte Arabische Emirate	2509
	Vietnam	2510
	Zentralasien	2637
	Asien allgemein	656
	Orient/Arabien	827
	Australien	660
	Neuseeland	2511
	Südseeinseln	2513
	Albanien	2429
	Belgien	2430
	Bosnien & Herzegowina	2431
	Bulgarien	2432
	Dänemark	2433
	Deutschland allgemein	803
	England/Großbritannien	2434
	Estland	2435
	Europa	2897
	Finnland	2436
	Frankreich	2437
	Georgien	2438
	Griechenland	2439
	Irland	2440
	Island	2441
	Italien	2442
	Kanarische Inseln	2921
	Kroatien	2443
	Lettland	2444
	Litauen	2445
	Luxemburg	2763
	Malta	2446
	Moldawien	2447
	Monaco	3021
	Montenegro	3014
	Niederlande	2448
	Norwegen	2449
	Österreich	2450
	Polen	2451
	Portugal	2452
	Rumänien	2453
	Russland	818
	Schottland	2455
	Schweden	2456
	Schweiz	2457
	Serbien	2458
	Slowakei	2459
	Spanien	2461
	Slowenien	2460
	Türkei	2463
	Tschechien	2462
	Ungarn	2465
	Ukraine	2464
	Zypern	2466
	Europa allgemein	661
	Westeuropa	1727
	Südeuropa	1726
	Südosteuropa/Balkan	2976
	Osteuropa	1319
	Skandinavien	1318
	Baltikum	826
	Aktuelle Landkarten	2319
	Alte Landkarten	1029
	Atlanten und Geographie	772
	Baedeker Reiseführer	2635
	Berge/Gebirge	1368
	Historische Reisen	3016
	Hotelführer/Unterkünfte	1808
	Kreuzfahrten	2910
	Meere/Ozeane	2766
	Merian (Magazin)	791
	Polarregion	828
	Reiseerzählungen	1365
	Reiseführer	601
	Reisen (Bildband)	733
	Reise-Zeitschriften	776
	Restaurantführer	2895
	Seekarten	2982
	Stadtführer	1961
	Wandern/Laufen	1716
	Sonstiges - Reisen	607
Sport und Hobby		
	Akrobatik/Artistik	2944
	Alpinismus	839
	Angeln	2934
	Autos/Motorsport	635
	Ballsport	636
	Fitness/Kraftsport	1941
	Flugsport	1929
	Fußball	1972
	Golf	1024
	Gymnastik/Turnen	1240
	Hundesport	2685
	Jagd	732
	Leichtathletik	1020
	Kampfsport	639
	Radsport/Radfahren	1025
	Reitsport	1239
	Schach	747
	Schießsport	2711
	Segeln/Boote	1898
	Sportwissenschaften	447
	Tanzen	1241
	Tennis	2950
	Wandern/Laufen	1716
	Wassersport	638
	Wintersport	637
	WM/Olympia	832
	Sport-Zeitschriften	694
	Sonstiges - Sport	587
	Ahnenforschung/Genealogie	1026
	Aquarien/Terrarien	1974
	Dekoration	2671
	Eisenbahn	846
	Fotografie	134
	Häkeln/Stricken	2894
	Handarbeit/Basteln	651
	Heim und Garten	649
	Heimwerken	1228
	Heraldik	2977
	Jonglieren	2945
	Malen/Zeichnen	1299
	Maritimes/Schifffahrt	2650
	Meditation	610
	Modellbau	1894
	Motorrad	1901
	Nähen	2908
	Numismatik/Münzen	1227
	Oldtimer	3010
	Philatelie/Briefmarken	1226
	Pilgern	2918
	Puppen/Marionetten	1384
	Rätsel/Quizbücher	1244
	Sammeln	650
	Spiele/Kartenspiele	1243
	Töpfern	1300
	Yoga	2943
	Zauberei	1937
	Sonstiges - Hobby	648
Tiere/Natur		
	Aquarien/Terrarien	810
	Exotische Tiere	807
	Fische	811
	Hunde	718
	Hundesport	2685
	Imkerei	2563
	Insekten	808
	Katzen	719
	Nagetiere	720
	Nutztiere	723
	Pferde	721
	Ratgeber Tiere	602
	Reptilien/Amphibien	1039
	Säugetiere	806
	Tiere (Bildband)	1287
	Vögel	722
	Sonstiges - Tiere	606
	Botanik	687
	Natur allgemein	815
	Gewässer	817
	Bäume und Sträucher	812
	Blumen/Orchideen	813
	Forstwirtschaft	2420
	Kakteen/Sukkulenten	822
	Ökologie/Umweltschutz	816
	Pflanzen allgemein	821
	Pflanzenanbau	2419
	Pilze	814
	Zoologie	802
	Natur-Zeitschriften	621
	Natur (Bildband)	1281
	Naturgeschichte	2854
	Sonstiges - Natur	1245
Zeitschriften/Zeitungen		
	Auto/Motorrad (Zeitschriften)	778
	Camping-Zeitschriften	2007
	Computer-Zeitschriften	695
	Eltern-Zeitschriften	793
	Englische Zeitschriften	1857
	Erotik-Zeitschriften	781
	Esoterik-Zeitschriften	952
	Essen/Trinken - Zeitschriften	1935
	Fachzeitschrift	620
	Film/Foto-Zeitschriften	780
	Frauen-Zeitschriften	794
	Fremdsprachige Zeitschriften	1858
	Garten-Zeitschriften	1936
	GEO (Zeitschrift)	1251
	Geschichte/Politik - Zeitschriften	2863
	Hobby-Zeitschriften	777
	Jura-Zeitschriften	862
	Jugendzeitschriften	1247
	Kinderzeitschriften	1246
	Kunstzeitschriften	797
	Landleben - Zeitschriften	2786
	Literatur-Zeitschriften	954
	Luftfahrt (Zeitschriften)	3008
	Männer-Zeitschriften	1254
	Medizin-Zeitschriften	910
	Mode-Zeitschriften	1249
	Modellbau-Zeitschriften	2006
	Musik-Zeitschriften	779
	Nachrichten/Politik	619
	Natur-Zeitschriften	621
	Pädagogik-Zeitschriften	3023
	Philosophie-Zeitschriften	2692
	Psychologie-Zeitschriften	1248
	Reader´s Digest	1253
	Reise-Zeitschriften	776
	Religiöse Zeitschriften	2021
	Satire-Zeitschriften	1250
	Schiffahrt/Seefahrt (Zeitschriften)	2980
	Sport-Zeitschriften	694
	Tageszeitungen	2764
	Tier-Zeitschriften	1953
	Verbraucher-Zeitschriften (Tests)	2693
	Wirtschafts-Zeitschriften	768
	Wissenschaft/Technik	863
	Wochenmagazine	1252
	Wohn-/Architektur-Zeitschriften	1922
	Sonstiges - Zeitschriften	547
Sammlerstücke/Raritäten		
	vor 1500	1845
	16. Jhdt.	1846
	17. Jhdt.	1847
	18. Jhdt	1848
	19. Jhdt.	1849
	Alte Drucke	801
	Ansichtskarten/Postkarten	1363
	Autogramme/Autographen	1291
	Büchergilde Gutenberg	3042
	Chroniken/Jahrbücher	2601
	Erstausgaben	805
	Faksimile	2542
	Gesamtausgaben/Werkausgaben	1897
	Grafiken	1915
	Handschriften	2970
	Illustrierte Bücher (Originalgrafik)	2543
	Inkunabeln	2969
	Insel-Bücherei	1357
	Manuskripte	1854
	Vorzugsausgaben	1914
	Pressendrucke/Künstlerbücher	1975
	Raritäten	706
	rororo Leinenrücken	1850
	Sonderausgaben	705
	Signierte Bücher	717
	Stiche/Kupferstiche	1853
	Sonstiges - Wertvolles/Raritäten	800
Sonstiges		
	Adress-/Telefonbücher	1945
	Aktien/Wertpapiere	1930
	Almanach	1362
	Alte Werbeanzeigen	3065
	Ansichtskarten/Postkarten	1363
	Aufkleber	3022
	Auktionskataloge	1816
	Ausstellungskataloge	840
	Autogramme	2428
	Bedienungsanleitungen	1903
	Braille-/Blindenschrift	3024
	Erotika	830
	Faksimiles	845
	Fest-/Jubiläumsschriften	2638
	Gesammelte Werke	1288
	Geschenkbücher	1875
	Großdruck	837
	Gutscheinbücher	2562
	Kalender	1359
	Karikaturen/Cartoons	1355
	Kataloge	1361
	Lesezeichen	2772
	Minibücher	2591
	Mundart	1812
	Notizbücher/Poesiealben	2644
	Ostalgie	1971
	Poster	2674
	Programmhefte	1963
	Reportagen	2002
	Sach/Fachbücher	703
	Sammlungen/Konvolute	838
	Schutzumschläge	2942
	Studentica	2765
	Trading Cards	2284
	Unterhaltung/Humor	704
	Witze/Anekdoten	1360
	Zirkus	2946
	Zitate/Aphorismen	1813
	Sonstiges	655
